,MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
1632,1577942940000,7156.1,7150.33908308,7156.1,7149.6,0.88015687
1633,1577943000000,7150.3,7150.22705445,7150.3,7150.22705445,0.02940237
1634,1577943060000,7150.22705445,7150.22705445,7150.22705445,7150.22705445,0.015
1635,1577943120000,7150.27875,7150.2,7150.27875,7150.2,1.4749999999999999
1636,1577943180000,7150.3,7153.2,7153.2,7150.2,0.03790399
1637,1577943240000,7153.3,7153.3,7153.3,7153.3,0.02429946
1638,1577943300000,7153.3,7153.2536265,7153.3,7153.2536265,0.1139545
1639,1577943480000,7153.33945343,7153.6,7153.6,7153.33945343,0.14128539
1640,1577943540000,7153.6,7153.75567132,7153.75567132,7153.6,1.1435847300000002
1641,1577943600000,7153.75566942,7153.75567132,7153.75567132,7153.75566942,0.07277018
1642,1577943780000,7153.7,7153.7,7153.8,7153.7,0.39764954
1643,1577943840000,7153.7,7153.7,7153.7,7153.7,0.31462691000000004
1644,1577943900000,7153.8,7153.8,7153.8,7153.8,0.01
1645,1577944080000,7153.7,7149.3,7153.7,7149.3,0.54445234
1646,1577944140000,7149.4,7149.3,7149.4,7149.3,0.02866581
1647,1577944200000,7149.4,7149.4,7149.4,7149.4,0.025
1648,1577944320000,7149.3,7149.3,7149.3,7149.3,0.0030639
1649,1577944380000,7149.3,7149.3,7149.3,7149.3,0.06548927
1650,1577944440000,7149.3,7149.3,7149.3,7149.3,0.02964
1651,1577944500000,7149.3,7149.3,7149.3,7149.3,0.01
1652,1577944560000,7149.4,7149.3,7149.4,7149.3,0.02
1653,1577944620000,7149.3,7149.3,7149.3,7149.3,0.005
1654,1577944680000,7149.3,7149.3,7149.3,7149.3,0.00084536
1655,1577944740000,7149.3,7149.3,7149.4,7149.3,0.06
1656,1577944800000,7149.4,7149.3,7149.4,7149.3,0.016281
1657,1577944860000,7149.3,7149.3,7149.3,7149.3,0.00308359
1658,1577944920000,7149.3,7147.1,7149.3,7147.1,1.67607003
1659,1577944980000,7147.46659143,7147.6,7147.6,7147.46659143,0.28895913
1660,1577945100000,7148.91554317,7149.0,7149.0,7148.91554317,0.01
1661,1577945160000,7148.9,7148.9,7148.9,7148.9,0.00147488
1662,1577945220000,7149.0,7149.0,7149.0,7149.0,0.005
1663,1577945280000,7148.9,7148.9,7149.0,7148.9,0.011288880000000001
1664,1577945340000,7148.9,7148.9,7148.9,7148.9,0.00942464
1665,1577945460000,7148.9,7148.9,7148.9,7148.9,0.00147287
1666,1577945520000,7148.9821469,7149.0,7149.0,7148.9821469,1.19061043
1667,1577945580000,7149.0,7149.0,7149.0,7149.0,0.08415269
1668,1577945640000,7148.4,7148.4,7148.4,7148.4,0.026163330000000002
1669,1577945700000,7148.3,7148.3,7148.4,7148.2,0.046917009999999995
1670,1577945760000,7148.32434483,7148.3,7148.4,7148.3,0.02930516
1671,1577945820000,7148.2,7148.2,7148.2,7148.10021376,0.535
1672,1577945880000,7148.24389,7148.2,7148.24389,7148.2,0.012178660000000001
1673,1577946000000,7148.4,7148.4,7148.4,7148.4,0.01655309
1674,1577946060000,7148.4,7148.4,7148.4,7148.4,0.04
1675,1577946120000,7148.3,7148.3,7148.3,7148.3,0.035
1676,1577946180000,7148.4,7148.3,7148.4,7148.3,0.01872278
1677,1577946240000,7148.3,7148.3,7148.4,7148.3,0.08139471000000001
1678,1577946300000,7148.4,7151.2,7151.2,7148.4,0.02
1679,1577946360000,7151.09339182,7152.0,7152.0,7151.09339182,1.34421149
1680,1577946420000,7152.0,7152.0,7152.0,7152.0,0.005
1681,1577946480000,7152.0,7153.1,7153.1,7152.0,5.9620638999999995
1682,1577946540000,7153.1,7153.7,7153.7,7153.1,0.077602
1683,1577946600000,7153.6,7153.6,7153.6,7153.6,0.01
1684,1577946660000,7153.6,7153.6,7153.6,7153.6,0.01
1685,1577946720000,7153.51974408,7153.5867288,7153.6,7153.51974408,0.03
1686,1577946780000,7153.51974408,7153.6,7153.6,7153.5,0.01861961
1687,1577946840000,7153.6,7153.6,7153.6,7153.6,0.01
1688,1577946960000,7153.5872054,7153.5,7153.6,7153.5,0.11655569
1689,1577947200000,7153.6,7153.6,7153.6,7153.6,0.005
1690,1577947260000,7153.5,7153.5,7153.5,7153.5,0.00354248
1691,1577947320000,7153.6,7153.5,7153.6,7153.5,0.0329
1692,1577947380000,7153.5,7153.5,7153.5,7153.5,0.00155269
1693,1577947440000,7153.5,7153.5,7153.5,7153.5,0.005
1694,1577947500000,7153.55185107,7153.55185107,7153.55185107,7153.55185107,0.01
1695,1577947560000,7153.5,7153.5,7153.5,7153.5,0.009245
1696,1577947620000,7153.55185107,7153.55185107,7153.55185107,7153.55185107,0.015
1697,1577947680000,7153.6,7153.52029157,7153.6,7153.52029157,5.8232165600000005
1698,1577947740000,7153.5,7153.5,7153.5,7153.5,0.01
1699,1577947920000,7153.5,7146.6,7153.52029157,7146.6,1.75936812
1700,1577947980000,7146.2,7146.6,7146.6,7146.2,0.9665125
1701,1577948040000,7146.6,7146.6,7146.6,7146.6,0.2459
1702,1577948100000,7146.6,7145.0,7146.6,7145.0,2.08621
1703,1577948160000,7145.0,7143.0,7145.0,7143.0,1.44058162
1704,1577948220000,7143.06526196,7145.6,7148.2,7143.06526196,55.01
1705,1577948280000,7145.5,7154.7,7154.7,7145.5,80.03152682
1706,1577948340000,7146.7,7148.8,7156.0,7146.7,48.31192606
1707,1577948400000,7149.16461238,7149.2,7149.2,7149.16461238,0.012393000000000001
1708,1577948460000,7149.2,7155.44003627,7155.88828084,7149.2,28.84031497
1709,1577948520000,7154.6,7154.6,7154.6,7154.6,0.012
1710,1577948580000,7154.6,7154.6,7154.65560829,7154.6,0.08615477
1711,1577948640000,7154.6,7154.6,7154.6,7154.5,25.725499
1712,1577948700000,7154.5,7145.2,7154.53080589,7145.2,1.01884362
1713,1577948760000,7145.2,7141.6,7145.2,7141.3,5.22978535
1714,1577948820000,7141.5,7141.5,7141.5,7141.4,0.9178
1715,1577948880000,7141.5,7141.5,7141.5,7141.5,0.00393384
1716,1577948940000,7141.5,7140.0,7141.5,7140.0,1.88189202
1717,1577949000000,7140.0,7140.1,7140.1,7140.0,0.079
1718,1577949060000,7140.1,7140.1,7140.1,7140.0,0.037000000000000005
1719,1577949120000,7140.1,7140.07086771,7140.1,7140.0,0.046
1720,1577949180000,7140.1,7140.0,7140.1,7140.0,0.07008859
1721,1577949240000,7140.1,7140.1,7140.1,7140.1,0.063
1722,1577949300000,7140.0514904,7140.1,7140.1,7140.0514904,0.261
1723,1577949360000,7140.1,7138.4,7140.1,7137.76484953,3.31221832
1724,1577949420000,7138.4,7138.4,7138.4,7138.4,0.005
1725,1577949480000,7138.5,7121.1827221,7138.5,7100.0,150.3780722
1726,1577949540000,7121.2,7127.4,7130.0,7121.2,8.55510909
1727,1577949600000,7129.58986075,7127.3,7129.6,7126.45119565,4.368057
1728,1577949660000,7127.2,7126.8,7127.3,7126.8,0.661
1729,1577949720000,7126.89957638,7126.8,7126.9,7126.8,0.29142
1730,1577949780000,7126.8,7120.6,7126.8,7120.50746701,2.60743716
1731,1577949840000,7120.61953569,7121.0,7121.0,7117.36954408,3.08918956
1732,1577949900000,7121.0,7121.0,7121.0,7120.9,1.37028071
1733,1577949960000,7120.9783122,7121.0,7121.0,7120.9,4.129
1734,1577950020000,7120.95574172,7120.9,7121.0,7120.9,0.2404
1735,1577950080000,7120.95574172,7121.0,7121.0,7120.9,0.80804336
1736,1577950140000,7120.9,7120.9,7120.9,7120.9,0.030000000000000002
1737,1577950200000,7120.9387506,7113.7,7120.9387506,7113.7,6.52457382
1738,1577950260000,7113.7,7116.5,7116.5,7113.7,1.23676274
1739,1577950320000,7120.8,7125.7,7125.7,7120.8,4.85683242
1740,1577950380000,7129.2413856,7130.0,7131.9,7128.6,8.94037445
1741,1577950440000,7130.1,7134.0,7134.0,7130.0,3.85203958
1742,1577950500000,7134.0,7135.4,7139.5,7134.0,3.50391365
1743,1577950560000,7135.38165933,7137.5,7138.5,7135.38165933,2.49901214
1744,1577950620000,7137.7,7137.7,7137.7,7137.7,0.0116334
1745,1577950680000,7133.0,7133.1,7133.1,7133.0,0.02412322
1746,1577950740000,7133.1,7133.1,7133.1,7133.1,0.05
1747,1577950800000,7133.05991979,7133.05991979,7133.05991979,7133.05991979,0.025
1748,1577950860000,7133.0,7133.0,7133.1,7133.0,0.15363105
1749,1577950920000,7133.0,7130.0,7133.0,7130.0,2.0
1750,1577950980000,7130.5,7130.4,7130.5,7130.4,0.015887000000000002
1751,1577951040000,7130.43801957,7133.1,7133.1,7130.43801957,2.27873263
1752,1577951100000,7133.6,7135.1,7135.1,7133.6,1.3519728
1753,1577951160000,7134.5,7134.5,7134.5,7134.5,0.0204
1754,1577951220000,7134.7314584,7134.7,7134.77290843,7134.7,0.05
1755,1577951280000,7134.7,7132.0,7134.7,7132.0,0.09951777
1756,1577951340000,7132.08100272,7132.0,7132.08100272,7132.0,0.06
1757,1577951460000,7132.0,7132.1,7132.1,7132.0,0.18836595
1758,1577951520000,7132.1,7130.1,7132.2,7130.1,1.255
1759,1577951580000,7130.3,7130.1,7130.3,7130.0,0.41483834999999997
1760,1577951640000,7130.0,7130.0,7130.0,7130.0,1.0
1761,1577951700000,7130.0,7130.0,7130.0,7130.0,0.01
1762,1577951760000,7130.0,7130.6,7130.6,7130.0,0.825
1763,1577951880000,7130.6,7130.5,7130.6,7130.5,1.03447933
1764,1577951940000,7130.5,7126.0,7130.5,7126.0,1.44184975
1765,1577952000000,7126.0,7126.07604437,7126.07604437,7126.0,0.30581200000000003
1766,1577952060000,7126.0,7126.0,7126.0,7126.0,0.013
1767,1577952120000,7126.0,7131.6,7131.6,7126.0,1.22329759
1768,1577952180000,7133.3,7133.0,7133.3,7132.6,0.36268453
1769,1577952240000,7134.9953392,7134.5,7135.0,7134.5,0.115
1770,1577952300000,7135.9,7136.6,7138.0,7135.9,3.25387707
1771,1577952360000,7135.8227236,7138.3,7138.3,7135.7,0.34248049999999997
1772,1577952420000,7138.5,7139.5,7139.5,7138.5,0.12459181
1773,1577952480000,7139.6,7146.0,7146.0,7139.6,1.9298694
1774,1577952540000,7145.94798203,7145.9,7147.2,7145.9,0.13773708
1775,1577952600000,7146.0,7146.0,7146.0,7146.0,0.372488
1776,1577952660000,7145.9,7145.9,7145.9,7145.9,0.1
1777,1577952720000,7146.0,7147.0,7147.0,7146.0,0.25447614
1778,1577952780000,7146.9052204,7147.0,7147.0,7146.9,0.04461002
1779,1577952840000,7147.0,7146.98244098,7147.0,7146.98244098,0.8812047999999999
1780,1577952900000,7147.0,7147.0,7147.0,7146.98244098,0.11582981
1781,1577952960000,7147.0,7147.0,7147.0,7147.0,0.005
1782,1577953020000,7147.0,7147.0,7147.0,7147.0,0.005
1783,1577953080000,7147.0,7147.0,7147.0,7147.0,2.46036088
1784,1577953140000,7147.9212116,7147.9212116,7147.9212116,7147.9212116,0.022
1785,1577953200000,7148.0,7155.5,7155.5,7148.0,17.37532671
1786,1577953260000,7150.2,7150.2,7150.2,7150.2,0.09338999
1787,1577953320000,7150.2,7150.2,7150.2,7150.2,2.035
1788,1577953380000,7150.2,7154.0779992,7154.5,7150.2,0.991603
1789,1577953500000,7154.2618236,7154.2,7154.3,7154.1,0.46790788000000005
1790,1577953560000,7154.1,7154.1,7154.1,7154.1,0.022
1791,1577953620000,7154.14888782,7154.14888782,7154.14888782,7154.14888782,0.300394
1792,1577953680000,7154.1,7154.0,7154.1,7154.0,0.52414213
1793,1577953740000,7154.0,7154.00953078,7154.00953078,7154.0,0.1104
1794,1577953800000,7154.0,7154.0,7154.0,7154.0,0.0608407
1795,1577953860000,7154.00953078,7149.0,7154.00953078,7149.0,5.52628528
1796,1577953980000,7149.1,7149.0,7149.1,7149.0,0.00437541
1797,1577954100000,7149.1,7149.10217718,7149.10217718,7149.1,0.01
1798,1577954160000,7149.10217718,7150.7,7150.7,7149.10217718,0.9174637800000001
1799,1577954220000,7152.0,7159.7,7159.7,7152.0,1.21299
1800,1577954280000,7159.7,7165.1,7165.4,7159.7,3.7283394700000003
1801,1577954340000,7165.1,7165.06573857,7165.1,7165.0,0.1533966
1802,1577954400000,7165.06573857,7165.0,7165.1,7165.0,0.26478822
1803,1577954460000,7165.06573857,7165.06573857,7165.06573857,7165.0,0.27249113
1804,1577954520000,7165.0,7165.0,7165.06573857,7165.0,0.14447770000000001
1805,1577954580000,7165.0,7165.015148,7165.1,7165.0,0.09954324
1806,1577954640000,7165.0,7165.01717377,7165.01717377,7165.0,0.8560190000000001
1807,1577954700000,7165.0,7165.0,7165.0,7165.0,0.06873454
1808,1577954760000,7165.015148,7165.015148,7165.015148,7165.015148,0.165
1809,1577954820000,7165.0,7165.0,7165.015148,7165.0,0.32866865
1810,1577954880000,7165.0,7165.1,7165.1,7165.0,1.45509845
1811,1577954940000,7165.0675181,7165.1,7165.1,7165.0,2.03794101
1812,1577955000000,7165.035696,7165.035696,7165.035696,7165.035696,0.0368
1813,1577955060000,7165.0675181,7165.0675181,7165.0675181,7165.0675181,0.005
1814,1577955120000,7165.0675181,7165.1,7165.1,7165.0675181,0.3175
1815,1577955180000,7165.0675181,7165.055772,7165.1,7165.0,0.7487507
1816,1577955240000,7165.1,7165.1,7165.1,7165.1,0.005
1817,1577955300000,7165.1,7165.1,7165.1,7165.1,1.005
1818,1577955360000,7165.055772,7165.0,7165.055772,7165.0,0.0812
1819,1577955420000,7165.1,7165.055772,7165.1,7165.055772,0.140091
1820,1577955480000,7165.07096581,7165.0,7165.1,7165.0,0.6763065699999999
1821,1577955540000,7165.0,7165.01618,7165.01618,7165.0,0.01
1822,1577955600000,7165.1,7165.01618,7165.1,7165.0,0.8674826
1823,1577955660000,7165.01618,7165.0615193,7165.0615193,7165.01618,0.511
1824,1577955720000,7165.0615193,7165.0615193,7165.0615193,7165.0615193,0.0024000000000000002
1825,1577955780000,7165.0,7165.0,7165.0,7165.0,0.00187282
1826,1577955840000,7165.08946813,7165.08946813,7165.08946813,7165.08946813,0.0016
1827,1577955900000,7165.0,7165.1,7165.1,7165.0,0.11921358
1828,1577955960000,7165.08946813,7165.0,7165.08946813,7165.0,0.0029621
1829,1577956020000,7165.0,7160.144208,7165.0,7160.1,2.69452797
1830,1577956080000,7160.1,7160.0,7160.1,7160.0,2.21204651
1831,1577956140000,7160.0,7160.0,7160.0,7160.0,0.005
1832,1577956200000,7160.1,7160.1,7160.1,7160.1,0.075
1833,1577956260000,7160.0,7160.0,7160.0,7160.0,0.02408873
1834,1577956320000,7160.0117916,7160.0,7160.0117916,7160.0,0.505
1835,1577956380000,7160.0,7160.0,7160.0,7160.0,0.00850128
1836,1577956440000,7160.0,7160.1,7160.1,7160.0,0.05669989
1837,1577956500000,7160.0,7160.07416461,7160.1,7160.0,0.52802
1838,1577956560000,7160.1,7160.1,7160.1,7160.1,0.015074
1839,1577956620000,7160.1,7163.6,7163.8,7160.1,1.63016553
1840,1577956680000,7163.3,7163.2,7163.7741736,7161.8,3.00163326
1841,1577956740000,7163.32572299,7161.1,7163.7,7161.1,3.0
1842,1577956800000,7160.7,7160.0226255,7161.3,7160.0,1.44270779
1843,1577956860000,7160.1,7165.8,7167.92234169,7160.1,21.24655392
1844,1577956920000,7165.2,7171.7,7172.63107303,7165.0,49.03125255
1845,1577956980000,7170.4,7171.2,7173.8,7170.3,5.171611449999999
1846,1577957040000,7171.213609,7170.9,7171.3,7170.8,3.96869835
1847,1577957100000,7170.9,7170.8,7170.9,7170.8,0.02947401
1848,1577957160000,7170.8,7168.0,7170.80772619,7168.0,6.94817472
1849,1577957220000,7168.0,7165.0,7168.0,7165.0,3.39627462
1850,1577957280000,7165.0,7161.5,7165.0,7161.3,2.87721128
1851,1577957340000,7161.5,7161.6,7161.6,7161.5,0.031
